acat	acom	zcat	zcom	dasinz	dz	dtotal	dtotdsig	star	sf
10.1177	10.1896	14.0696	14.0518	0.0175	-0.0178	0.0250	0.81	156	16.17
287.4895	287.5783	41.0173	41.0297	0.0583	0.0124	0.0596	1.94	157	40.90
65.3041	65.2079	36.3947	36.3679	-0.0571	-0.0268	0.0631	2.06	158	37.97
291.7095	291.8048	37.9192	37.9192	0.0586	0.0000	0.0586	1.91	159	37.95
53.6231	53.5862	27.2293	27.1943	-0.0169	-0.0350	0.0389	1.27	160	29.06
313.7048	313.7268	23.2781	23.2572	0.0087	-0.0210	0.0227	0.74	162	24.13
300.2611	300.3283	31.6903	31.6666	0.0353	-0.0237	0.0425	1.39	163	32.03
289.7603	289.8299	46.0080	45.9779	0.0501	-0.0301	0.0584	1.90	164	45.93
39.7944	39.7730	23.5141	23.4582	-0.0086	-0.0559	0.0565	1.84	165	25.53
299.8697	299.9745	33.7030	33.6871	0.0581	-0.0158	0.0602	1.96	166	34.04
354.2279	354.2001	18.9995	18.9659	-0.0091	-0.0336	0.0348	1.14	167	20.90
325.0036	325.0383	23.2209	23.1980	0.0137	-0.0229	0.0267	0.87	168	24.43
1.4304	1.4036	21.3136	21.2706	-0.0097	-0.0430	0.0441	1.44	170	23.30
22.9856	22.9545	23.8387	23.7993	-0.0126	-0.0393	0.0413	1.35	172	25.96
22.9498	22.9545	23.8479	23.7993	0.0019	-0.0486	0.0486	1.59	173	25.96
305.1202	305.2200	36.7590	36.7687	0.0598	0.0097	0.0605	1.97	174	37.30
296.3382	296.4354	46.1963	46.1867	0.0701	-0.0096	0.0708	2.31	175	46.38
312.2456	312.3461	33.6865	33.6825	0.0558	-0.0040	0.0559	1.82	176	34.48
47.9498	47.8630	35.4719	35.4494	-0.0504	-0.0225	0.0552	1.80	177	37.41
332.7472	332.7965	26.8265	26.7992	0.0222	-0.0273	0.0352	1.15	178	28.25
314.3091	314.3996	33.5640	33.5513	0.0501	-0.0127	0.0516	1.68	179	34.42
22.6729	22.6167	26.7291	26.7038	-0.0253	-0.0253	0.0358	1.17	180	28.86
38.2316	38.1681	31.3948	31.3823	-0.0331	-0.0125	0.0353	1.15	181	33.47
43.0549	42.9481	34.5877	34.5659	-0.0606	-0.0218	0.0645	2.10	182	36.59
45.8083	45.7052	36.3273	36.3233	-0.0611	-0.0039	0.0612	2.00	183	38.31
341.6687	341.6604	27.0328	27.0058	-0.0038	-0.0269	0.0272	0.89	184	28.68
49.6051	49.4955	39.3601	39.3624	-0.0695	0.0023	0.0695	2.27	185	41.29
13.6150	13.5695	27.1170	27.0906	-0.0207	-0.0264	0.0335	1.09	186	29.23
318.0734	318.1812	34.5642	34.5598	0.0611	-0.0044	0.0613	2.00	187	35.55
339.7451	339.7781	28.6428	28.6224	0.0158	-0.0204	0.0258	0.84	188	30.25
314.0817	314.1894	37.2621	37.2750	0.0652	0.0129	0.0665	2.17	189	38.13
327.8182	327.8862	31.9832	31.9824	0.0360	-0.0008	0.0360	1.17	190	33.28
317.3606	317.4516	36.4035	36.3977	0.0540	-0.0059	0.0543	1.77	191	37.36
320.5982	320.7083	35.1387	35.1406	0.0634	0.0019	0.0634	2.07	192	36.21
34.0304	33.9496	33.9773	33.9661	-0.0451	-0.0112	0.0465	1.52	193	36.08
328.6737	328.7510	32.8959	32.8727	0.0420	-0.0232	0.0480	1.57	195	34.20
37.5799	37.5019	37.9243	37.9272	-0.0479	0.0028	0.0480	1.57	196	40.02
39.0364	38.9523	38.6437	38.6952	-0.0525	0.0515	0.0735	2.40	197	40.77
317.1791	317.2965	39.7004	39.7111	0.0750	0.0108	0.0758	2.47	198	40.67
18.3067	18.2627	32.8219	32.8078	-0.0239	-0.0141	0.0278	0.90	199	34.96
338.0320	338.0488	33.8550	33.8647	0.0093	0.0097	0.0135	0.44	200	35.44
43.2850	43.1947	44.6103	44.6232	-0.0634	0.0129	0.0647	2.11	201	46.65
353.9084	353.8713	34.4498	34.4842	-0.0210	0.0344	0.0403	1.31	202	36.40
34.1231	34.0609	41.1320	41.1627	-0.0409	0.0306	0.0511	1.67	203	43.28
329.4293	329.5140	41.6233	41.6658	0.0563	0.0424	0.0705	2.30	204	43.00
332.1025	332.1609	42.6043	42.6497	0.0396	0.0454	0.0603	1.96	205	44.06
23.5735	23.5563	41.8930	41.9369	-0.0115	0.0439	0.0454	1.48	206	44.10
348.4848	348.4811	39.3805	39.4243	-0.0023	0.0438	0.0438	1.43	207	41.24
24.2741	24.2280	42.4271	42.4750	-0.0311	0.0479	0.0571	1.86	208	44.63
21.7693	21.7386	41.9189	41.9594	-0.0205	0.0405	0.0454	1.48	209	44.12
347.7722	347.7800	40.4173	40.4784	0.0051	0.0611	0.0613	2.00	210	42.27
12.0427	12.0238	41.3254	41.3606	-0.0125	0.0351	0.0373	1.22	211	43.49
357.3785	357.3669	40.7518	40.7975	-0.0075	0.0458	0.0464	1.51	212	42.77
354.4521	354.4407	41.4892	41.5535	-0.0075	0.0643	0.0647	2.11	213	43.47
4.8791	4.8554	42.3264	42.3619	-0.0160	0.0355	0.0390	1.27	214	44.43
23.0733	23.0604	46.0695	46.0692	-0.0092	-0.0003	0.0092	0.30	215	48.23
355.8701	355.8480	45.0064	45.0266	-0.0156	0.0201	0.0255	0.83	216	46.97
353.2801	353.2331	45.7181	45.7287	-0.0336	0.0107	0.0353	1.15	217	47.63
